date=2026-06-07
2026-06-02 06:30:01 | region=india | status=FAILED
2026-06-02 15:00:00 | region=usa | status=ONGOING
2026-06-03 06:36:16 | region=india | status=FAILED
2026-06-03 06:37:18 | region=usa | status=NOT_STARTED
2026-06-03 06:37:20 | region=india | status=ONGOING
2026-06-03 15:47:22 | region=india | status=ONGOING
2026-06-03 16:57:21 | region=india | status=COMPLETED
2026-06-03 17:00:12 | region=usa | status=ONGOING
2026-06-03 18:39:35 | region=usa | status=COMPLETED
2026-06-04 16:30:01 | region=india | status=ONGOING
2026-06-04 16:30:10 | region=usa | status=NOT_STARTED
2026-06-04 16:30:14 | region=india | status=ONGOING
2026-06-04 17:00:06 | region=usa | status=ONGOING
2026-06-04 17:28:12 | region=india | status=COMPLETED
2026-06-04 17:49:00 | region=usa | status=COMPLETED
2026-06-05 16:30:01 | region=india | status=ONGOING
2026-06-05 16:30:05 | region=usa | status=NOT_STARTED
2026-06-05 16:30:07 | region=india | status=ONGOING
2026-06-05 17:00:03 | region=usa | status=ONGOING
2026-06-05 17:02:36 | region=india | status=COMPLETED
2026-06-05 17:32:58 | region=usa | status=COMPLETED
2026-06-06 16:30:01 | region=india | status=ONGOING
2026-06-06 16:30:05 | region=usa | status=NOT_STARTED
2026-06-06 16:30:07 | region=india | status=ONGOING
2026-06-06 17:00:03 | region=usa | status=ONGOING
2026-06-06 17:00:35 | region=india | status=COMPLETED
2026-06-06 17:12:56 | region=usa | status=COMPLETED
2026-06-07 16:30:01 | region=india | status=ONGOING
2026-06-07 16:30:04 | region=usa | status=NOT_STARTED
2026-06-07 16:30:06 | region=india | status=ONGOING
2026-06-07 17:00:02 | region=usa | status=ONGOING
2026-06-07 17:11:11 | region=india | status=COMPLETED
2026-06-07 17:25:44 | region=usa | status=COMPLETED
